,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Solvent,CHEM21,CHEM21 Numerical,Molecular Weight,Boiling Point,Melting Point,Density,Viscosity,Vapor Pressure,Refractive Index,LogP,Dipole Moment,Dielectric Constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Volume,Functional Group,Grignard,Amide Coupling 1,Amide Coupling 2,Heck,Baylis-Hillman,Suzuki-Miyaura Pd,Suzuki-Miyaura Ni,Buchwald-Hartwig,Alkene Metathesis,SNAr,cost,Alternative Name,Cas Number
115,115,115,115,115,bromoform,,,249.76,149.5,8.3,2.89,,5.4,1.5948,2.38,,4.5,,,,21.5,4.1,6.1,87.5,,,,,,,,,,,,,,75-25-2
116,116,116,116,116,bromotrifluoromethane,,,147.91,-58,-168,5.14,,,1.238,1.86,,,,,,9.6,2.5,0.0,97.0,,,,,,,,,,,,,,75-63-8
117,117,117,117,117,bu-xypropanol,,,132.12,171,,0.879,,,,1.15,,,,,,15.3,4.5,9.2,132.0,,,,,,,,,,,,,,5131-66-8
118,118,118,118,118,butylacetate,,,116.08,126,-78,0.88,,11.5,1.3945,1.82,,5.1,0.0,0.45,0.46,15.8,3.7,6.3,132.5,,,,,,,,,,,,,,123-86-4
119,119,119,119,119,butylamine,,,73.09,78,-50,0.74,,92.9,1.401,0.86,,,0.0,0.72,0.31,16.2,4.5,8.0,99.0,,,,,,,,,,,,,,109-73-9
120,120,120,120,120,butylbenzoate,,,178.1,250,-22,1.0,,0.01,1.494,,,,,,,18.3,5.6,5.5,178.1,,,,,,,,,,,,,,136-60-7
121,121,121,121,121,butyllactate,,,146.09,,,,,,,,,,,,,15.8,6.5,10.2,149.0,,,,,,,,,,,,,,34451-19-9
122,122,122,122,122,butylpropionate,,,130.1,146,-90,0.87,,,1.401,,,,,,,15.7,5.5,5.9,149.3,,,,,,,,,,,,,,590-01-2
123,123,123,123,123,butylstearate,,,340.33,343,27.5,0.86,,,1.4328,,,,,,,14.5,3.7,3.5,382.0,,,,,,,,,,,,,,68154-28-9
124,124,124,124,124,butyraldehyde,,,72.06,74.8,-99,0.799,0.45,111,1.382,0.88,,13.4,,,,14.7,5.3,7.0,88.5,,,,,,,,,,,,,,123-72-8
125,125,125,125,125,butyricacid,,,88.05,164,-7.9,0.954,,1.65,1.398,0.79,,3.0,,,,14.9,4.1,10.6,110.0,,,,,,,,,,,,,,107-92-6
126,126,126,126,126,butyronitrile,,,69.06,117,-112,0.81,0.6,,1.38385,0.55,,20.7,,,,15.3,12.5,5.1,87.0,,,,,,,,,,,,,,109-74-0
127,127,127,127,127,caprolac-ne,,,114.07,237,-1.5,1.0,,0.135,,0.68,,,,,,19.7,15.0,7.4,110.8,,,,,,,,,,,,,,502-44-3
128,128,128,128,128,carbondisulfide,#FF6347,,76.0,46.3,-110.8,1.266,0.36,300,1.624,1.84,,,0.0,0.07,0.61,20.5,0.0,0.6,60.0,,,,,,,,,,,,,,75-15-0
129,129,129,129,129,chlorobenzene,#FFD700,,112.0,131,-45,1.11,0.753,12,15.241,2.8,,5.62,0.0,0.07,0.71,19.0,4.3,2.0,102.1,,,,,,,,,,,,,,68411-45-0
130,130,130,130,130,chlorodifluoromethane,,,85.97,-41,-146,3.11,,"7,250",1.256,1.08,,6.11,,,,12.3,6.3,5.7,72.9,,,,,,,,,,,,,,75-45-6
131,131,131,131,131,cyanol,,,93.06,184,-6,1.02,1.62,0.667,1.5863,0.94,,6.89,,,,19.4,5.1,10.2,91.5,,,,,,,,,,,,,,62-53-3
132,132,132,132,132,cyclohexanol,#9ACD32,,100.0,161,23,0.9684,57.5,1,1.465,13.114,,15.0,0.66,0.84,0.45,17.4,4.1,13.5,106.0,,,,,,,,,,,,,,108-93-0
133,133,133,133,133,cyclohexylamine,,,99.1,134.5,-17.7,0.87,,,1.4565,1.4,,,,,,17.4,3.1,6.5,115.2,,,,,,,,,,,,,,157973-60-9
134,134,134,134,134,dibutylphthalate,,,278.15,340,-35,1.05,,0.0000201,1.49,4.72,,6.4,,,,17.8,8.6,4.1,266.0,,,,,,,,,,,,,,84-74-2
135,135,135,135,135,dibutylsebacate,,,314.25,344.5,-10,0.938,,,1.4415,,,,,,,13.9,4.5,4.1,339.0,,,,,,,,,,,,,,109-43-3
136,136,136,136,136,dichlorofluoromethane,,,101.94,8.9,-135,3.57,0.313,1360,1.3724,1.55,,5.34,,,,15.8,3.1,5.7,75.4,,,,,,,,,,,,,,75-43-4
137,137,137,137,137,diethylamine,,,73.09,55.5,-50,0.71,,237,1.3864,0.58,,3.7,0.3,0.7,0.24,14.9,2.3,6.1,103.2,,,,,,,,,,,,,,109-89-7
138,138,138,138,138,diethylcarbonate,,,118.06,126,-43,0.98,,,1.3845,1.21,,,0.0,0.4,0.45,16.6,3.1,6.1,121.0,,,,,,,,,,,,,,105-58-8
139,139,139,139,139,diethyleneglycolbutylether,,,162.13,230,-68,0.954,0.0649,0.0219,1.4258,0.3,,,,,,16.0,7.0,10.6,170.6,,,,,,,,,,,,,,112-34-5
140,140,140,140,140,diethyleneglycoldimethylether,,,134.09,162,-68,0.95,1.089,,1.4097,-0.36,,,,,,15.8,6.1,9.2,142.0,,,,,,,,,,,,,,111-96-6
141,141,141,141,141,diethyleneglycolmethylether,,,134.09,199,-76,0.99,3.85,,1.4273,-0.15,,,,,,16.2,7.8,12.7,118.0,,,,,,,,,,,,,,111-90-0
142,142,142,142,142,diethyleneglycolmonoethylether,,,134.09,199,-76,0.99,3.85,,1.4273,-0.15,,,,,,16.2,9.2,12.3,130.9,,,,,,,,,,,,,,111-90-0
143,143,143,143,143,diethylenetriamine,,,103.11,207,-39,0.96,,0.23,1.481,-1.3,,,,,,16.8,13.3,14.3,108.0,,,,,,,,,,,,,,111-40-0
144,144,144,144,144,diethylphthalate,,,222.09,295,-23,1.12,,0.0021,1.5002,2.47,,,,,,17.6,9.6,4.5,198.0,,,,,,,,,,,,,,68988-18-1
145,145,145,145,145,diethylsulfate,,,154.03,209.5,-25,1.2,,,1.40037,1.14,,,,,,15.8,14.7,7.2,131.5,,,,,,,,,,,,,,64-67-5
146,146,146,146,146,diethylsulfide,,,90.05,92,-102.05,0.8385,,60.2,1.445,1.95,,,0.0,0.37,0.46,17.0,3.1,2.0,108.2,,,,,,,,,,,,,,68990-36-3
147,147,147,147,147,diisopropylether,#FF6347,,102.0,68,-86.8,0.7192,0.38,149.262,1.368,1.52,,3.9,0.0,0.49,0.27,15.1,3.2,3.2,141.8,,,,,,,,,,,,,,108-20-3
148,148,148,148,148,dimethylphthalate,,,194.06,284,5.5,1.19,17.2,0.00308,1.5168,1.795,,,0.0,0.78,0.82,18.6,10.8,4.9,163.0,,,,,,,,,,,,,,131-11-3
149,149,149,149,149,dimethylsulfone,,,94.01,238,109,,,,,-1.41,,,,,,19.0,19.4,12.3,75.0,,,,,,,,,,,,,,67-71-0
150,150,150,150,150,dinoctylphthalate,,,390.28,220,25,0.98,,0.0000001,1.485,8.1,,,,,,16.6,7.0,3.1,277.0,,,,,,,,,,,,,,117-84-0
151,151,151,151,151,dipropylamine,,,101.12,109.3,-63,0.738,,20.1,1.40455,1.67,,2.9,,,,15.3,1.4,4.1,136.9,,,,,,,,,,,,,,142-84-7
152,152,152,152,152,dipropyleneglycol,,,134.09,,,1.005,,,1.45,,,,,,,16.5,10.6,17.7,131.8,,,,,,,,,,,,,,106-62-7
153,153,153,153,153,dipropyleneglycolbutylether,,,190.16,230,None; turns - glass at -43 ,0.91,,0.1,1.44,1.5,,,,,,15.7,6.5,10.0,211.2,,,,,,,,,,,,,,29911-28-2
154,154,154,154,154,dllimonene,,,136.13,178,-74,0.8405,,1.98,1.474,4.2,,,,,,17.2,1.8,4.3,162.9,,,,,,,,,,,,,,5989-27-5
155,155,155,155,155,dowanoldpm,,,148.11,,,,,,,,,,,,,15.5,5.7,11.2,156.1,,,,,,,,,,,,,,20324-32-7
156,156,156,156,156,epichlorohydrin,,,92.0,116,-48,1.18,,16.4,1.43585,0.26,,,,,,19.0,10.2,3.7,79.9,,,,,,,,,,,,,,106-89-8
157,157,157,157,157,ethanethiol,,,62.02,35,-144.4,0.84,,529,1.428,1.5,,,,,,15.8,6.5,7.2,74.3,,,,,,,,,,,,,,75-08-1
158,158,158,158,158,ethanolamine,,,61.05,,,,,,,,,,,,,15.8,8.8,19.4,58.5,,,,,,,,,,,,,,9007-33-4
159,159,159,159,159,ethylbenzene,,,106.08,136,-95,0.87,0.64,9.6,1.4959,3.1,,,,,,17.8,0.6,1.4,123.1,,,,,,,,,,,,,,70955-17-8
160,160,160,160,160,ethylchloroformate,,,108.0,95,-80.6,1.1,,,1.3947,,,,,,,15.5,10.0,6.8,95.6,,,,,,,,,,,,,,541-41-3
161,161,161,161,161,ethylcinnamate,,,176.08,,,1.0475,,,1.56,,,5.3,,,,18.4,8.2,4.1,166.8,,,,,,,,,,,,,,103-36-6
162,162,162,162,162,ethylenediamine,,,60.07,117,8.5,0.91,0.0154,,1.4565,-1.2,,,,,,16.6,8.8,17.0,67.3,,,,,,,,,,,,,,107-15-3
163,163,163,163,163,ethyleneglycolbutylether,,,118.1,171,-75,0.9,,0.88,1.4198,0.83,,,,,,16.0,5.1,12.3,131.6,,,,,,,,,,,,,,111-76-2
164,164,164,164,164,ethyleneglycolmonophenylether,,,138.07,237.5,14,1.1094,,7,1.534,1.16,,,,,,17.8,5.7,14.3,124.7,,,,,,,,,,,,,,122-99-6
165,165,165,165,165,ethylformate,,,74.04,53,-80,0.92,,245,1.361,0.23,,7.1,0.0,0.36,0.61,15.5,8.4,8.4,80.2,,,,,,,,,,,,,,109-94-4
166,166,166,166,166,formamide,,,45.02,207,2.5,1.13,,,1.44754,-1.51,, epsilon= 84; industrial grades may have odor of ammonia,0.71,0.48,0.97,17.2,26.2,19.0,39.8,,,,,,,,,,,,,,75-12-7
167,167,167,167,167,formicacid,#FFD700,,46.0,100.56,4,1.214,1.966,42.603,1.369,0.54,,,1.23,0.38,0.65,14.3,11.9,16.6,37.8,,,,,,,,,,,,,,15907-03-6
168,168,168,168,168,furan,,,68.03,31.3,-85.6,0.94,0.38,600,1.4214,1.34,,3.0,,,,17.8,1.8,5.3,72.5,,,,,,,,,,,,,,110-00-9
169,169,169,169,169,furfurylalcohol,,,98.04,170,-31,1.13,,,1.485,0.28,,,,,,17.4,7.6,15.1,86.5,,,,,,,,,,,,,,98-00-0
170,170,170,170,170,gammabutyrolac-ne,,,86.04,204,-44,1.125,,0.45,1.444,-0.64,,,,,,18.0,16.6,7.4,76.5,,,,,,,,,,,,,,96-48-0
171,171,171,171,171,hexadecafluoroheptane,,,387.97,,,,,,,,,,,,,12.1,0.0,0.0,227.3,,,,,,,,,,,,,,335-57-9
172,172,172,172,172,isobutylacetate,#9ACD32,,116.0,116.5,-98.8,0.88,0.69,17.776,1.4,1.72,,5.6,,,,15.1,3.7,6.3,133.5,,,,,,,,,,,,,,110-19-0
173,173,173,173,173,isobutylisobutyrate,,,144.12,148.6,-81,0.855,,4.33,1.399,,,,,,,15.1,2.8,5.8,169.8,,,,,,,,,,,,,,97-85-8
174,174,174,174,174,isopentylacetate,,,130.1,142,-79,0.87,0.872,5.6,1.402,2.13,,,,,,15.3,3.1,7.0,148.8,,,,,,,,,,,,,,123-92-2
175,175,175,175,175,isophorone,,,138.1,215,-8,0.92,2.62,,1.4775,1.67,,,,,,16.6,8.2,7.4,150.5,,,,,,,,,,,,,,78-59-1
176,176,176,176,176,isopropylpalmitate,,,298.29,342,13.5,0.8404,,0.0000559,1.4364,,,,,,,14.3,3.9,3.7,330.0,,,,,,,,,,,,,,142-91-6
177,177,177,177,177,mcresol,,,108.06,202,12.2,1.03,2.093,0.11,1.54,1.96,,,,,,18.5,6.5,13.7,105.0,,,,,,,,,,,,,,108-39-4
178,178,178,178,178,mesitylene,,,120.09,165,-45,0.86,,2.48,1.49541,3.42,,3.4,,,,18.0,0.0,0.6,139.8,,,,,,,,,,,,,,108-67-8
179,179,179,179,179,mesityloxide,,,98.07,130,-41.5,0.86,60.0,8.21,1.4445,1.7,,15.4,,,,16.4,7.2,6.1,115.6,,,,,,,,,,,,,,141-79-7
180,180,180,180,180,methylacetate,#FFD700,,74.0,57.4,-98,0.928,0.364,21.602,13.614,0.18,,6.7,0.0,0.42,0.6,15.5,7.2,7.6,79.7,,,,,,,,,,,,,,79-20-9
181,181,181,181,181,methyleneiodide,,,267.82,,,,,,,,,,,,,17.8,3.9,5.5,80.5,,,,,,,,,,,,,,75-11-6
182,182,182,182,182,methyloleate,,,296.27,217,-19.9,0.8739,2.62,,1.4522,7.45,,,,,,14.5,3.9,3.7,340.0,,,,,,,,,,,,,,139152-82-2
183,183,183,183,183,morpholine,,,87.07,129,-5,17.0,2.23,10.1,1.454,-0.86,,,0.29,0.7,0.39,18.8,4.9,9.2,87.1,,,,,,,,,,,,,,110-91-8
184,184,184,184,184,naphthalene,,,128.06,218,80,1.15,0.754,0.085,1.4003,3.35,,,,,,19.2,2.0,5.9,111.5,,,,,,,,,,,,,,72931-45-4
185,185,185,185,185,nitroethane,,,75.03,114,-90,1.05,,20.8,1.3917,0.2,,28.0,,,,16.0,15.5,4.5,71.5,,,,,,,,,,,,,,79-24-3
186,186,186,186,186,nitropropane,,,89.05,132,-108,1.0,0.79,10.1,1.4018,0.87,,,,,,16.6,12.3,5.5,89.5,,,,,,,,,,,,,,25322-01-4
187,187,187,187,187,nmethylpyrrolidine,,,99.07,202,-24.4,1.03,1.65,0.345,1.469,-0.38,,32.3,,,,18.0,12.3,7.2,96.5,,,,,,,,,,,,,,872-50-4
188,188,188,188,188,"n,ndimethylhydrazine",,,60.07,64,-58,0.79,,167,1.40753,-1.19,,,,,,15.3,5.9,11.0,76.0,,,,,,,,,,,,,,57-14-7
189,189,189,189,189,octanoicacid,,,144.12,239,16.5,0.91,,0.00371,1.426,3.05,,,,,,15.1,3.3,8.2,159.0,,,,,,,,,,,,,,68937-74-6
190,190,190,190,190,oleicacid,,,282.26,360,13.4,0.895,25.6,0.000000546,1.46,7.73,,,,,,14.3,3.1,5.5,320.0,,,,,,,,,,,,,,112-80-1
191,191,191,191,191,oleylalcohol,,,268.28,207,6.5,0.848,,,1.458,,,,,,,14.3,2.7,8.0,316.0,,,,,,,,,,,,,,143-28-2
192,192,192,192,192,oxylene,,,106.08,144,-25,0.88,,,,3.12,,,,,,17.8,1.0,3.1,121.2,,,,,,,,,,,,,,95-47-6
193,193,193,193,193,pentylacetate,,,130.1,149,-71,0.88,1.58,3.5,1.4023,2.18,,5.0,,,,15.8,3.3,6.1,148.0,,,,,,,,,,,,,,628-63-7
194,194,194,194,194,phenol,,,94.04,182,41,1.06,,,1.5408,1.46,,,1.65,0.3,0.72,18.0,5.9,14.9,87.5,,,,,,,,,,,,,,108-95-2
195,195,195,195,195,propionitrile,,,55.04,97,-92,0.78,0.389,,1.36585,0.16,,,,,,15.3,14.3,5.5,70.9,,,,,,,,,,,,,,68130-67-6
196,196,196,196,196,propylacetate,,,102.07,101.6,-92,0.84,,35.9,1.3845,1.24,,6.3,,,,15.3,4.3,7.6,115.8,,,,,,,,,,,,,,109-60-4
197,197,197,197,197,propylamine,,,59.07,48,-83,0.717,,310,1.387,0.15,,,,,,17.0,4.9,8.6,83.0,,,,,,,,,,,,,,68187-45-1
198,198,198,198,198,propyleneglycolmonomethyletheracetate,,,132.08,146,-66,0.969,,3.92,,0.56,,,,,,15.6,5.6,9.8,137.1,,,,,,,,,,,,,,108-65-6
199,199,199,199,199,propylpropionate,,,116.08,123,-75.9,0.876,,,1.3935,,,4.7,,,,15.5,5.6,5.7,132.5,,,,,,,,,,,,,,106-36-5
200,200,200,200,200,quinoline,,,129.06,238,-15,1.09,2.997,,1.62683,2.06,,,0.0,0.64,0.92,19.4,7.0,7.6,118.0,,,,,,,,,,,,,,91-22-5
201,201,201,201,201,resorcinol,,,110.04,280,110,1.27,,0.000489,1.578,0.86,,,,,,18.0,8.4,21.1,87.5,,,,,,,,,,,,,,108-46-3
202,202,202,202,202,secbutylacetate,,,116.08,112,-99,0.86,,,1.3888,1.51,,,,,,15.0,3.7,7.6,134.0,,,,,,,,,,,,,,105-46-4
203,203,203,203,203,stearicacid,,,284.27,371,70.5,0.86,9.87,0.000000722,1.613,8.23,,,,,,16.4,3.3,5.5,326.0,,,,,,,,,,,,,,57-11-4
204,204,204,204,204,styrene,,,104.06,145,-30.6,0.91,0.696,6.4,1.544,3.0,,,,,,18.6,1.0,4.1,115.6,,,,,,,,,,,,,,100-42-5
205,205,205,205,205,succinicanhydride,,,100.02,261,119.6,1.503,,0.0015,,,,,,,,18.6,19.2,16.6,66.8,,,,,,,,,,,,,,108-30-5
206,206,206,206,206,sulfolane,,,120.02,285,27.6,1.2606,,,1.481,-0.77,,,0.0,0.39,0.98,18.0,18.0,9.9,95.3,,,,,,,,,,,,,,126-33-0
207,207,207,207,207,tertbutylacetate,,,116.08,97.8,,0.87,,47,1.3855,1.76,,,,,,15.0,3.7,6.0,134.8,,,,,,,,,,,,,,540-88-5
208,208,208,208,208,tetrachloroethylene,,,163.88,121,-22,1.62,0.839,18.5,1.5053,3.4,,2.5,,,,19.0,6.5,2.9,101.1,,,,,,,,,,,,,,127-18-4
209,209,209,209,209,tetrahydrofurfurylalcohol,#FF6347,,102.0,178,-80,1.054,11.08,0.8,1.452,0.14,,,,,,17.8,8.2,12.9,97.4,,,,,,,,,,,,,,93842-55-8
210,210,210,210,210,tetramethylurea,,,116.09,176.5,-1.2,0.9687,,,1.4493,0.19,,,,,,16.8,8.2,11.0,120.4,,,,,,,,,,,,,,632-22-4
211,211,211,211,211,tributylphosphate,,,266.16,289,-80,0.98,3.39,0.00113,1.4224,4.0,,8.91,0.0,0.8,0.65,16.4,6.3,4.3,345.0,,,,,,,,,,,,,,126-73-8
212,212,212,212,212,trichloroethylene,,,129.91,87,-86,1.46,,69,1.4773,2.42,,,,,,18.0,3.1,5.3,90.2,,,,,,,,,,,,,,79-01-6
213,213,213,213,213,trichlorofluoromethane,,,135.9,24,-111,4.74,,803,1.374,2.53,,,,,,15.3,2.0,0.0,92.8,,,,,,,,,,,,,,75-69-4
214,214,214,214,214,tricresylphosphate,,,368.12,224,77.5,1.247,,,,,,,,,,19.0,12.3,4.5,613.0,,,,,,,,,,,,,,78-32-0
215,215,215,215,215,triethylphosphate,,,182.07,215,-57,1.07,,0.39,1.4053,0.8,,13.2,0.0,0.77,0.72,16.8,11.5,9.2,171.0,,,,,,,,,,,,,,78-40-0
216,216,216,216,216,trifluoromethylundecafluorocyclohexane,,,349.98,,,,,,,,,,,,,12.5,0.0,0.0,196.0,,,,,,,,,,,,,,355-02-2
217,217,217,217,217,trimethylphosphate,,,140.02,197.2,-46,1.2,,0.85,1.3967,-0.65,,,0.0,0.77,0.72,16.8,16.0,10.2,99.9,,,,,,,,,,,,,,512-56-1
218,218,218,218,218,t-Butyl Acetate,,,116.08,97.8,,0.87,,47,1.3855,1.76,,,,,,15.0,3.7,6.0,134.8,,,,,,,,,,,,,,540-88-5
219,219,219,219,219,Butyl Diglycol Acetate,,,204.14,246,-32,0.985,,,1.4262,2.9,,,,,,16.0,4.1,8.2,208.2,,,,,,,,,,,,,,124-17-4
220,220,220,220,220,m-Cresol,,,108.06,202,11.8,1.03,2.093,0.11,1.54,1.96,,,,,,18.5,6.5,13.7,105.0,,,,,,,,,,,,,,108-39-4
221,221,221,221,221,Diethylene Glycol Monobutyl Ether,,,162.13,230,-68,0.954,0.0649,0.0219,1.4258,0.3,,,,,,16.0,7.0,10.6,170.4,,,,,,,,,,,,,,112-34-5
222,222,222,222,222,Dimethyl Cyclohexane,,,112.13,,,,,,,,,,,,,16.1,0.0,1.1,140.0,,,,,,,,,,,,,,27195-67-1
223,223,223,223,223,Dipropylene Glycol Methyl Ether,,,148.11,190,-80,0.95,,,,,,,,,,15.5,5.7,11.2,156.1,,,,,,,,,,,,,,13588-28-8
224,224,224,224,224,Ethylene Glycol Monobutyl Ether,,,118.1,171,-75,0.9,,0.88,1.4198,0.83,,,,,,16.0,5.1,12.3,132.0,,,,,,,,,,,,,,9004-77-7
225,225,225,225,225,Glycerol Carbonate,,,118.03,,,,,,,,,,,,,17.9,25.5,17.4,83.2,,,,,,,,,,,,,,931-40-8
226,226,226,226,226,Iso-Pentyl Acetate,,,130.1,142,-79,0.87,0.872,5.6,1.402,2.13,,,,,,15.3,3.1,7.0,150.2,,,,,,,,,,,,,,123-92-2
227,227,227,227,227,Iso-Propyl Acetate,,,102.07,89,-73,0.87,,,1.377,1.02,,,,,,14.9,4.5,8.2,117.1,,,,,,,,,,,,,,108-21-4
228,228,228,228,228,d-Limonene,,,136.13,178,-74,0.8405,,1.98,1.474,4.2,,,,,,17.2,1.8,4.3,162.9,,,,,,,,,,,,,,5989-27-5
229,229,229,229,229,Methyl Carbi-l,,,120.08,193,-84,1.025,3.48,0.25,1.4264,-1.035,,,,,,16.2,7.8,12.6,118.2,,,,,,,,,,,,,,111-77-3
230,230,230,230,230,Methyl iso-Amyl Ke-ne,,,114.1,144,-74,0.81,0.77,5.77,1.4062,1.72,,,,,,16.0,5.7,4.1,141.3,,,,,,,,,,,,,,110-12-3
231,231,231,231,231,"N,N-Dimethyl Acetamide",,,87.07,165,-20,0.94,0.92,,1.4358,-0.77,,,0.0,0.76,0.88,16.8,11.5,10.2,93.0,,,,,,,,,,,,,,127-19-5
232,232,232,232,233,Propylene Glycol Monobutyl Ether,,,132.12,171,,0.879,,,,1.15,,,,,,15.3,4.5,9.2,132.0,,,,,,,,,,,,,,5131-66-8
233,233,233,233,234,Propylene Glycol Monoethyl Ether Acetate,,,146.09,160,-89,0.98,,,,0.76,,,,,,15.6,6.3,7.7,155.1,,,,,,,,,,,,,,54839-24-6
234,234,234,234,235,sec-Butyl Acetate,,,116.08,112,-99,0.86,,,1.3888,1.51,,,,,,15.0,3.7,7.6,134.0,,,,,,,,,,,,,,105-46-4
235,235,235,235,236,3-propanediol,#FFD700,,76.0,214.4,-26.7,1.04,40.01,0.044,1.439,-1.093,,,,,,16.8,13.5,23.2,72.5,,,,,,,,,,,,,,504-63-2
236,236,236,236,237,4-dioxane,#FF6347,,88.0,101.5,11.8,1.0,1.19,38.103,14.224,0.42,,2.25,,,,17.5,1.8,9.0,85.7,,,,,,,,,,,,,,123-91-1
237,237,237,237,238,3-methoxybutan-1-ol,#9ACD32,,104.0,157,-85,0.92,2.28,0.908,1.408,2.0,,,,,,15.3,5.4,13.6,113.2,,,,,,,,,,,,,,2517-43-3
238,238,238,238,239,Benzyl acetate,#FFD700,,150.0,213,-51.3,1.06,2.3,0.18,1.501,2.0,,5.0,,,,18.3,5.7,6.0,143.7,,,,,,,,,,,,,,140-11-4
239,239,239,239,240,Butyl formate,#FFD700,,102.0,107,-92,0.892,30.0,28.9,1.391,1.32,,,,,,15.7,6.5,9.2,115.2,,,,,,,,,,,,,,592-84-7
240,240,240,240,241,Dibutyl ether,#FFD700,,130.0,140,-95,0.77,0.69,6.01,13.992,3.21,,3.1,0.0,0.46,0.27,15.2,3.4,3.2,170.4,,,,,,,,,,,,,,142-96-1
241,241,241,241,242,dibutylsuccinate,#FFD700,,230.0,274.5,-29.2,0.98,4.0,0.016,14.273,24.532,,,,,,16.1,7.7,8.8,238.3,,,,,,,,,,,,,,141-03-7
242,242,242,242,243,diethyl succinate,#FFD700,,174.0,217.7,-21,1.04,1.05,0.044,1.42,1.26,,,,,,16.1,7.7,8.8,169.3,,,,,,,,,,,,,,68989-32-2
243,243,243,243,244,Ethyl butyrate,#9ACD32,,116.0,121.5,-98,0.87,0.63,14.476,1.392,1.7,,5.1,,,,15.5,5.6,5.0,132.9,,,,,,,,,,,,,,105-54-4
244,244,244,244,245,Ethyl cyclopentane,#FFD700,,98.0,103,-138,0.763,0.535,38,1.426,3.85,,,,,,16.5,1.2,2.0,125.6,,,,,,,,,,,,,,1640-89-7
245,245,245,245,246,ethyl isopropyl ke-ne,#FFD700,,100.0,113.5,-82.16,0.8,0.45,18.076,1.397,1.331,,13.1,,,,16.0,7.6,4.7,124.9,,,,,,,,,,,,,,565-69-5
246,246,246,246,247,Ethyl propionate,#FFD700,,102.0,99.1,-73.9,0.89,0.5,35.928,1.381,1.21,,5.7,,,,15.5,6.1,4.9,115.6,,,,,,,,,,,,,,105-37-3
247,247,247,247,248,ethylene glycol diacetate,#9ACD32,,146.0,190,-41,1.13,1.49,0.077,14.159,0.4,,,,,,16.2,4.7,9.8,132.7,,,,,,,,,,,,,,27252-83-1
248,248,248,248,249,glycerol,#FFD700,,92.0,290,18.2,1.26,945.0,0,1.473,-1.76,,,,,,17.4,11.3,27.2,73.4,,,,,,,,,,,,,,8043-29-6
249,249,249,249,250,"Hexyl acetate, n-",#9ACD32,,144.0,171.5,-80.9,0.88,1.05,1.32,1.409,2.87,,,,,,15.8,2.9,5.9,166.1,,,,,,,,,,,,,,88230-35-7
250,250,250,250,251,LacticÂ acid,#FFD700,,90.0,216,53,1.19,36.9,0.029,14.392,0.6,,,,,,17.0,8.3,28.4,73.8,,,,,,,,,,,,,,598-82-3
251,251,251,251,252,Methyl amyl acetate,#9ACD32,,144.0,147.5,-64,0.86,0.98,28.802,1.409,19.841,,,,,,15.2,3.1,6.8,167.4,,,,,,,,,,,,,,108-84-9
252,252,252,252,253,Methyl isopropyl ke-ne,#9ACD32,,86.0,94,-94.4,0.8501,0.454,52.714,1.388,0.84,,,,,,15.8,6.8,5.0,107.8,,,,,,,,,,,,,,563-80-4
253,253,253,253,254,Methyl laurate,#FFD700,,214.0,267,5.2,0.87,3.0,4,1.432,5.41,,,,,,16.1,3.6,4.2,247.2,,,,,,,,,,,,,,111-82-0
254,254,254,254,255,n-pentyl propionate,#9ACD32,,144.0,169,-75,0.873,1.0,3.6,1.41,2.823,,,,,,15.8,5.2,5.7,165.3,,,,,,,,,,,,,,624-54-4
255,255,255,255,256,o-xylene,#FFD700,,106.0,144.5,-25.2,0.87,0.76,6.608,1.503,3.12,,,,,,17.8,1.0,3.1,121.1,,,,,,,,,,,,,,95-47-6
256,256,256,256,257,p-cymene,#9ACD32,,134.0,177.1,-68.9,0.86,0.76,1.463,1.489,4.1,,,,,,18.0,3.5,2.7,156.3,,,,,,,,,,,,,,4939-75-7
257,257,257,257,258,R-limonene (+) (D),#FFD700,,136.0,176,-75,0.84,0.923,1.98,1.47,4.57,,,,,,16.5,0.6,0.0,162.9,,,,,,,,,,,,,,5989-27-5
258,258,258,258,259,tert-Amyl methyl ether,#9ACD32,,102.0,86.3,-80,0.766,0.46,75.2,13.862,1.55,,,,,,15.2,4.5,2.5,136.1,,,,,,,,,,,,,,994-05-8
259,259,259,259,260,Triethylamine,#FF6347,,101.0,89.3,-114.7,0.75,20.14,57.155,1.401,1.45,,,0.0,0.71,0.14,15.5,0.4,1.0,139.7,,,,,,,,,,,,,,121-44-8
260,260,260,260,261,"1,1,3,3-tetramethylguanidine",,,115.11,,,,,,,,,,0.0,0.86,0.76,,,,,,,,,,,,,,,,,,80-70-6
261,261,261,261,262,"1,3-dichlorobenzene",,,145.97,173,-24.8,1.288,,2.15,1.5515,3.53,,5.02,0.0,0.03,0.75,,,,,,,,,,,,,,,,,,541-73-1
262,262,262,262,263,"1,3-dimethylbenzene",,,106.08,139,-48,0.86,,8.29,1.4973,3.2,,2.367,0.0,0.11,0.47,,,,,,,,,,,,,,,,,,108-38-3
263,263,263,263,264,"1,4-difluorobenzene",,,114.03,,,,,,,,,,0.0,0.03,0.58,,,,,,,,,,,,,,,,,,540-36-3
