,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Solvent,CHEM21,CHEM21 Numerical,Molecular Weight,Boiling Point,Melting Point,Density,Viscosity,Vapour Pressure,Refractive Index,LogP,Dipole Moment,Dielectric Constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Volume,Functional Group,Grignard,Amide Coupling 1,Amide Coupling 2,Heck,Baylis-Hillman,Suzuki-Miyaura Pd,Suzuki-Miyaura Ni,Buchwald-Hartwig,Alkene Metathesis,SNAr,cost,Alternative Name
120,120,128.0,128.0,128.0,0.0,,butylbenzoate,,,,,,,,,,,,,,,,18.3,5.6,5.5,178.1,,,,,,,,,,,,,
121,121,129.0,129.0,129.0,0.0,,butyllactate,,,,,,,,,,,,,,,,15.8,6.5,10.2,149.0,,,,,,,,,,,,,
122,122,130.0,130.0,130.0,0.0,,butylpropionate,,,,,,,,,,,,,,,,15.7,5.5,5.9,149.3,,,,,,,,,,,,,
123,123,131.0,131.0,131.0,0.0,,butylstearate,,,,,,,,,,,,,,,,14.5,3.7,3.5,382.0,,,,,,,,,,,,,
124,124,132.0,132.0,132.0,0.0,,butyraldehyde,,,,,,,,,,,,,,,,14.7,5.3,7.0,88.5,,,,,,,,,,,,,
125,125,133.0,133.0,133.0,0.0,,butyricacid,,,,,,,,,,,,,,,,14.9,4.1,10.6,110.0,,,,,,,,,,,,,
126,126,134.0,134.0,134.0,0.0,,butyronitrile,,,,,,,,,,,,,,,,15.3,12.5,5.1,87.0,,,,,,,,,,,,,
127,127,135.0,135.0,135.0,0.0,,caprolactone,,,,,,,,,,,,,,,,19.7,15.0,7.4,110.8,,,,,,,,,,,,,
128,128,136.0,136.0,136.0,0.0,,carbondisulfide,#FF6347,,76.0,46.3,-110.8,1.266,0.36,300.0,1.624,1.84,,,0.0,0.07,0.61,20.5,0.0,0.6,60.0,,,,,,,,,,,,,
129,129,137.0,137.0,137.0,0.0,,chlorobenzene,#FFD700,,112.0,131.0,-45.0,1.11,0.753,12.0,15.241,2.8,,,0.0,0.07,0.71,19.0,4.3,2.0,102.1,,,,,,,,,,,,,
130,130,138.0,138.0,138.0,0.0,,chlorodifluoromethane,,,,,,,,,,,,,,,,12.3,6.3,5.7,72.9,,,,,,,,,,,,,
131,131,139.0,139.0,139.0,0.0,,chloromethane,,,,,,,,,,,,,,,,15.3,6.1,3.9,55.4,,,,,,,,,,,,,
132,132,140.0,140.0,140.0,0.0,,cyanol,,,,,,,,,,,,,,,,19.4,5.1,10.2,91.5,,,,,,,,,,,,,
133,133,141.0,141.0,141.0,0.0,,cyclohexanol,#9ACD32,,100.0,161.0,23.0,0.9684,57.5,1.0,1.465,13.114,,,0.66,0.84,0.45,17.4,4.1,13.5,106.0,,,,,,,,,,,,,
134,134,142.0,142.0,142.0,0.0,,cyclohexylamine,,,,,,,,,,,,,,,,17.4,3.1,6.5,115.2,,,,,,,,,,,,,
135,135,143.0,143.0,143.0,0.0,,dibutylphthalate,,,,,,,,,,,,,,,,17.8,8.6,4.1,266.0,,,,,,,,,,,,,
136,136,144.0,144.0,144.0,0.0,,dibutylsebacate,,,,,,,,,,,,,,,,13.9,4.5,4.1,339.0,,,,,,,,,,,,,
137,137,145.0,145.0,145.0,0.0,,dichlorofluoromethane,,,,,,,,,,,,,,,,15.8,3.1,5.7,75.4,,,,,,,,,,,,,
138,138,147.0,147.0,147.0,0.0,,diethylamine,,,,,,,,,,,,,0.3,0.7,0.24,14.9,2.3,6.1,103.2,,,,,,,,,,,,,
139,139,148.0,148.0,148.0,0.0,,diethylcarbonate,,,,,,,,,,,,,0.0,0.4,0.45,16.6,3.1,6.1,121.0,,,,,,,,,,,,,
140,140,149.0,149.0,149.0,0.0,,diethyleneglycolbutylether,,,,,,,,,,,,,,,,16.0,7.0,10.6,170.6,,,,,,,,,,,,,
141,141,150.0,150.0,150.0,0.0,,diethyleneglycoldimethylether,,,,,,,,,,,,,,,,15.8,6.1,9.2,142.0,,,,,,,,,,,,,
142,142,151.0,151.0,151.0,0.0,,diethyleneglycolmethylether,,,,,,,,,,,,,,,,16.2,7.8,12.7,118.0,,,,,,,,,,,,,
143,143,152.0,152.0,152.0,0.0,,diethyleneglycolmonoethylether,,,,,,,,,,,,,,,,16.2,9.2,12.3,130.9,,,,,,,,,,,,,
144,144,153.0,153.0,153.0,0.0,,diethylenetriamine,,,,,,,,,,,,,,,,16.8,13.3,14.3,108.0,,,,,,,,,,,,,
145,145,154.0,154.0,154.0,0.0,,diethylphthalate,,,,,,,,,,,,,,,,17.6,9.6,4.5,198.0,,,,,,,,,,,,,
146,146,155.0,155.0,155.0,0.0,,diethylsulfate,,,,,,,,,,,,,,,,15.8,14.7,7.2,131.5,,,,,,,,,,,,,
147,147,156.0,156.0,156.0,0.0,,diethylsulfide,,,,,,,,,,,,,0.0,0.37,0.46,17.0,3.1,2.0,108.2,,,,,,,,,,,,,
148,148,157.0,157.0,157.0,0.0,,diisopropylether,#FF6347,,102.0,68.0,-86.8,0.7192,0.38,149.262,1.368,1.52,,,0.0,0.49,0.27,15.1,3.2,3.2,141.8,,,,,,,,,,,,,
149,149,158.0,158.0,158.0,0.0,,dimethylphthalate,,,,,,,,,,,,,0.0,0.78,0.82,18.6,10.8,4.9,163.0,,,,,,,,,,,,,
150,150,159.0,159.0,159.0,0.0,,dimethylsulfone,,,,,,,,,,,,,,,,19.0,19.4,12.3,75.0,,,,,,,,,,,,,
151,151,160.0,160.0,160.0,0.0,,dinoctylphthalate,,,,,,,,,,,,,,,,16.6,7.0,3.1,277.0,,,,,,,,,,,,,
152,152,161.0,161.0,161.0,0.0,,dipropylamine,,,,,,,,,,,,,,,,15.3,1.4,4.1,136.9,,,,,,,,,,,,,
153,153,162.0,162.0,162.0,0.0,,dipropyleneglycol,,,,,,,,,,,,,,,,16.5,10.6,17.7,131.8,,,,,,,,,,,,,
154,154,163.0,163.0,163.0,0.0,,dipropyleneglycolbutylether,,,,,,,,,,,,,,,,15.7,6.5,10.0,211.2,,,,,,,,,,,,,
155,155,164.0,164.0,164.0,0.0,,dllimonene,,,,,,,,,,,,,,,,17.2,1.8,4.3,162.9,,,,,,,,,,,,,
156,156,165.0,165.0,165.0,0.0,,dowanoldpm,,,,,,,,,,,,,,,,15.5,5.7,11.2,156.1,,,,,,,,,,,,,
157,157,166.0,166.0,166.0,0.0,,epichlorohydrin,,,,,,,,,,,,,,,,19.0,10.2,3.7,79.9,,,,,,,,,,,,,
158,158,167.0,167.0,167.0,0.0,,ethanethiol,,,,,,,,,,,,,,,,15.8,6.5,7.2,74.3,,,,,,,,,,,,,
159,159,168.0,168.0,168.0,0.0,,ethanolamine,,,,,,,,,,,,,,,,15.8,8.8,19.4,58.5,,,,,,,,,,,,,
160,160,170.0,170.0,170.0,0.0,,ethylbenzene,,,,,,,,,,,,,,,,17.8,0.6,1.4,123.1,,,,,,,,,,,,,
161,161,171.0,171.0,171.0,0.0,,ethylchloroformate,,,,,,,,,,,,,,,,15.5,10.0,6.8,95.6,,,,,,,,,,,,,
162,162,172.0,172.0,172.0,0.0,,ethylcinnamate,,,,,,,,,,,,,,,,18.4,8.2,4.1,166.8,,,,,,,,,,,,,
163,163,173.0,173.0,173.0,0.0,,ethylenediamine,,,,,,,,,,,,,,,,16.6,8.8,17.0,67.3,,,,,,,,,,,,,
164,164,174.0,174.0,174.0,0.0,,ethyleneglycolbutylether,,,,,,,,,,,,,,,,16.0,5.1,12.3,131.6,,,,,,,,,,,,,
165,165,175.0,175.0,175.0,0.0,,ethyleneglycolmonophenylether,,,,,,,,,,,,,,,,17.8,5.7,14.3,124.7,,,,,,,,,,,,,
166,166,176.0,176.0,176.0,0.0,,ethylformate,,,,,,,,,,,,,0.0,0.36,0.61,15.5,8.4,8.4,80.2,,,,,,,,,,,,,
167,167,177.0,177.0,177.0,0.0,,formamide,,,,,,,,,,,,,0.71,0.48,0.97,17.2,26.2,19.0,39.8,,,,,,,,,,,,,
168,168,178.0,178.0,178.0,0.0,,formicacid,#FFD700,,46.0,100.56,4.0,1.214,1.966,42.603,1.369,0.54,,,1.23,0.38,0.65,14.3,11.9,16.6,37.8,,,,,,,,,,,,,
169,169,179.0,179.0,179.0,0.0,,furan,,,,,,,,,,,,,,,,17.8,1.8,5.3,72.5,,,,,,,,,,,,,
170,170,180.0,180.0,180.0,0.0,,furfurylalcohol,,,,,,,,,,,,,,,,17.4,7.6,15.1,86.5,,,,,,,,,,,,,
171,171,181.0,181.0,181.0,0.0,,gammabutyrolactone,,,,,,,,,,,,,,,,18.0,16.6,7.4,76.5,,,,,,,,,,,,,
172,172,182.0,182.0,182.0,0.0,,hexadecafluoroheptane,,,,,,,,,,,,,,,,12.1,0.0,0.0,227.3,,,,,,,,,,,,,
173,173,183.0,183.0,183.0,0.0,,isobutylacetate,#9ACD32,,116.0,116.5,-98.8,0.88,0.69,17.776,1.4,1.72,,,,,,15.1,3.7,6.3,133.5,,,,,,,,,,,,,
174,174,184.0,184.0,184.0,0.0,,isobutylisobutyrate,,,,,,,,,,,,,,,,15.1,2.8,5.8,169.8,,,,,,,,,,,,,
175,175,185.0,185.0,185.0,0.0,,isopentylacetate,,,,,,,,,,,,,,,,15.3,3.1,7.0,148.8,,,,,,,,,,,,,
176,176,186.0,186.0,186.0,0.0,,isophorone,,,,,,,,,,,,,,,,16.6,8.2,7.4,150.5,,,,,,,,,,,,,
177,177,187.0,187.0,187.0,0.0,,isopropylpalmitate,,,,,,,,,,,,,,,,14.3,3.9,3.7,330.0,,,,,,,,,,,,,
178,178,188.0,188.0,188.0,0.0,,mcresol,,,,,,,,,,,,,,,,18.5,6.5,13.7,105.0,,,,,,,,,,,,,
179,179,189.0,189.0,189.0,0.0,,mesitylene,,,,,,,,,,,,,,,,18.0,0.0,0.6,139.8,,,,,,,,,,,,,
180,180,190.0,190.0,190.0,0.0,,mesityloxide,,,,,,,,,,,,,,,,16.4,7.2,6.1,115.6,,,,,,,,,,,,,
181,181,191.0,191.0,191.0,0.0,,methylacetate,#FFD700,,74.0,57.4,-98.0,0.928,0.364,21.602,13.614,0.18,,,0.0,0.42,0.6,15.5,7.2,7.6,79.7,,,,,,,,,,,,,
182,182,192.0,192.0,192.0,0.0,,methyleneiodide,,,,,,,,,,,,,,,,17.8,3.9,5.5,80.5,,,,,,,,,,,,,
183,183,193.0,193.0,193.0,0.0,,methyloleate,,,,,,,,,,,,,,,,14.5,3.9,3.7,340.0,,,,,,,,,,,,,
184,184,194.0,194.0,194.0,0.0,,morpholine,,,,,,,,,,,,,0.29,0.7,0.39,18.8,4.9,9.2,87.1,,,,,,,,,,,,,
185,185,195.0,195.0,195.0,0.0,,naphthalene,,,,,,,,,,,,,,,,19.2,2.0,5.9,111.5,,,,,,,,,,,,,
186,186,196.0,196.0,196.0,0.0,,nitroethane,,,,,,,,,,,,,,,,16.0,15.5,4.5,71.5,,,,,,,,,,,,,
187,187,197.0,197.0,197.0,0.0,,nitropropane,,,,,,,,,,,,,,,,16.6,12.3,5.5,89.5,,,,,,,,,,,,,
188,188,198.0,198.0,198.0,0.0,,nmethylpyrrolidine,,,,,,,,,,,,,,,,18.0,12.3,7.2,96.5,,,,,,,,,,,,,
189,189,202.0,202.0,202.0,0.0,,"n,ndimethylhydrazine",,,,,,,,,,,,,,,,15.3,5.9,11.0,76.0,,,,,,,,,,,,,
190,190,203.0,203.0,203.0,0.0,,octanoicacid,,,,,,,,,,,,,,,,15.1,3.3,8.2,159.0,,,,,,,,,,,,,
191,191,204.0,204.0,204.0,0.0,,oleicacid,,,,,,,,,,,,,,,,14.3,3.1,5.5,320.0,,,,,,,,,,,,,
192,192,205.0,205.0,205.0,0.0,,oleylalcohol,,,,,,,,,,,,,,,,14.3,2.7,8.0,316.0,,,,,,,,,,,,,
193,193,206.0,206.0,206.0,0.0,,oxylene,,,,,,,,,,,,,,,,17.8,1.0,3.1,121.2,,,,,,,,,,,,,
194,194,207.0,207.0,207.0,0.0,,pentylacetate,,,,,,,,,,,,,,,,15.8,3.3,6.1,148.0,,,,,,,,,,,,,
195,195,208.0,208.0,208.0,0.0,,phenol,,,,,,,,,,,,,1.65,0.3,0.72,18.0,5.9,14.9,87.5,,,,,,,,,,,,,
196,196,209.0,209.0,209.0,0.0,,propionitrile,,,,,,,,,,,,,,,,15.3,14.3,5.5,70.9,,,,,,,,,,,,,
197,197,210.0,210.0,210.0,0.0,,propylacetate,,,,,,,,,,,,,,,,15.3,4.3,7.6,115.8,,,,,,,,,,,,,
198,198,211.0,211.0,211.0,0.0,,propylamine,,,,,,,,,,,,,,,,17.0,4.9,8.6,83.0,,,,,,,,,,,,,
199,199,212.0,212.0,212.0,0.0,,propyleneglycolmonomethyletheracetate,,,,,,,,,,,,,,,,15.6,5.6,9.8,137.1,,,,,,,,,,,,,
200,200,213.0,213.0,213.0,0.0,,propylpropionate,,,,,,,,,,,,,,,,15.5,5.6,5.7,132.5,,,,,,,,,,,,,
201,201,214.0,214.0,214.0,0.0,,quinoline,,,,,,,,,,,,,0.0,0.64,0.92,19.4,7.0,7.6,118.0,,,,,,,,,,,,,
202,202,215.0,215.0,215.0,0.0,,resorcinol,,,,,,,,,,,,,,,,18.0,8.4,21.1,87.5,,,,,,,,,,,,,
203,203,216.0,216.0,216.0,0.0,,secbutylacetate,,,,,,,,,,,,,,,,15.0,3.7,7.6,134.0,,,,,,,,,,,,,
204,204,217.0,217.0,217.0,0.0,,stearicacid,,,,,,,,,,,,,,,,16.4,3.3,5.5,326.0,,,,,,,,,,,,,
205,205,218.0,218.0,218.0,0.0,,styrene,,,,,,,,,,,,,,,,18.6,1.0,4.1,115.6,,,,,,,,,,,,,
206,206,219.0,219.0,219.0,0.0,,succinicanhydride,,,,,,,,,,,,,,,,18.6,19.2,16.6,66.8,,,,,,,,,,,,,
207,207,220.0,220.0,220.0,0.0,,sulfolane,,,,,,,,,,,,,0.0,0.39,0.98,18.0,18.0,9.9,95.3,,,,,,,,,,,,,
208,208,222.0,222.0,222.0,0.0,,tertbutylacetate,,,,,,,,,,,,,,,,15.0,3.7,6.0,134.8,,,,,,,,,,,,,
209,209,223.0,223.0,223.0,0.0,,tetrachloroethylene,,,,,,,,,,,,,,,,19.0,6.5,2.9,101.1,,,,,,,,,,,,,
210,210,224.0,224.0,224.0,0.0,,tetrahydrofurfurylalcohol,#FF6347,,102.0,178.0,-80.0,1.054,11.08,0.8,1.452,0.14,,,,,,17.8,8.2,12.9,97.4,,,,,,,,,,,,,
211,211,225.0,225.0,225.0,0.0,,tetramethylurea,,,,,,,,,,,,,,,,16.8,8.2,11.0,120.4,,,,,,,,,,,,,
212,212,226.0,226.0,226.0,0.0,,tributylphosphate,,,,,,,,,,,,,0.0,0.8,0.65,16.4,6.3,4.3,345.0,,,,,,,,,,,,,
213,213,227.0,227.0,227.0,0.0,,trichloroethylene,,,,,,,,,,,,,,,,18.0,3.1,5.3,90.2,,,,,,,,,,,,,
214,214,228.0,228.0,228.0,0.0,,trichlorofluoromethane,,,,,,,,,,,,,,,,15.3,2.0,0.0,92.8,,,,,,,,,,,,,
215,215,229.0,229.0,229.0,0.0,,tricresylphosphate,,,,,,,,,,,,,,,,19.0,12.3,4.5,613.0,,,,,,,,,,,,,
216,216,230.0,230.0,230.0,0.0,,triethylphosphate,,,,,,,,,,,,,0.0,0.77,0.72,16.8,11.5,9.2,171.0,,,,,,,,,,,,,
217,217,231.0,231.0,231.0,0.0,,trifluoromethylundecafluorocyclohexane,,,,,,,,,,,,,,,,12.5,0.0,0.0,196.0,,,,,,,,,,,,,
218,218,233.0,233.0,233.0,0.0,,trimethylphosphate,,,,,,,,,,,,,0.0,0.77,0.72,16.8,16.0,10.2,99.9,,,,,,,,,,,,,
219,219,237.0,237.0,0.0,,,t-Butyl Acetate,,,,,,,,,,,,,,,,15.0,3.7,6.0,134.8,,,,,,,,,,,,,
220,220,239.0,239.0,0.0,,,Butyl Diglycol Acetate,,,,,,,,,,,,,,,,16.0,4.1,8.2,208.2,,,,,,,,,,,,,
221,221,243.0,243.0,0.0,,,m-Cresol,,,,,,,,,,,,,,,,18.5,6.5,13.7,105.0,,,,,,,,,,,,,
222,222,246.0,246.0,0.0,,,Diethylene Glycol Monobutyl Ether,,,,,,,,,,,,,,,,16.0,7.0,10.6,170.4,,,,,,,,,,,,,
223,223,247.0,247.0,0.0,,,Dimethyl Cyclohexane,,,,,,,,,,,,,,,,16.1,0.0,1.1,140.0,,,,,,,,,,,,,
224,224,248.0,248.0,0.0,,,Dipropylene Glycol Methyl Ether,,,,,,,,,,,,,,,,15.5,5.7,11.2,156.1,,,,,,,,,,,,,
225,225,249.0,249.0,0.0,,,Dipropylene Glycol Mono n-Butyl Ether,,,,,,,,,,,,,,,,15.7,6.5,10.0,211.2,,,,,,,,,,,,,
226,226,250.0,250.0,0.0,,,Ethylene Glycol Monobutyl Ether,,,,,,,,,,,,,,,,16.0,5.1,12.3,132.0,,,,,,,,,,,,,
227,227,253.0,253.0,0.0,,,Glycerol Carbonate,,,,,,,,,,,,,,,,17.9,25.5,17.4,83.2,,,,,,,,,,,,,
228,228,256.0,256.0,0.0,,,Iso-Pentyl Acetate,,,,,,,,,,,,,,,,15.3,3.1,7.0,150.2,,,,,,,,,,,,,
229,229,258.0,258.0,0.0,,,Iso-Propyl Acetate,,,,,,,,,,,,,,,,14.9,4.5,8.2,117.1,,,,,,,,,,,,,
230,230,260.0,260.0,0.0,,,d-Limonene,,,,,,,,,,,,,,,,17.2,1.8,4.3,162.9,,,,,,,,,,,,,
231,231,261.0,261.0,0.0,,,Methyl Carbitol,,,,,,,,,,,,,,,,16.2,7.8,12.6,118.2,,,,,,,,,,,,,
232,232,263.0,263.0,0.0,,,Methyl iso-Amyl Ketone,,,,,,,,,,,,,,,,16.0,5.7,4.1,141.3,,,,,,,,,,,,,
233,233,269.0,269.0,0.0,,,"N,N-Dimethyl Acetamide",,,,,,,,,,,,,0.0,0.76,0.88,16.8,11.5,10.2,93.0,,,,,,,,,,,,,
234,234,272.0,272.0,0.0,,,2-Phenoxy Ethanol,,,,,,,,,,,,,,,,17.8,5.7,14.3,124.7,,,,,,,,,,,,,
235,235,275.0,275.0,0.0,,,Propylene Glycol Monobutyl Ether,,,,,,,,,,,,,,,,15.3,4.5,9.2,132.0,,,,,,,,,,,,,
236,236,276.0,276.0,0.0,,,Propylene Glycol Monoethyl Ether Acetate,,,,,,,,,,,,,,,,15.6,6.3,7.7,155.1,,,,,,,,,,,,,
237,237,279.0,279.0,0.0,,,sec-Butyl Acetate,,,,,,,,,,,,,,,,15.0,3.7,7.6,134.0,,,,,,,,,,,,,
238,238,280.0,0.0,,,,3-propanediol,#FFD700,,76.0,214.4,-26.7,1.04,40.01,0.044,1.439,-1.093,,,,,,16.8,13.5,23.2,72.5,,,,,,,,,,,,,
239,239,281.0,0.0,,,,4-dioxane,#FF6347,,88.0,101.5,11.8,1.0,1.19,38.103,14.224,0.42,,,,,,17.5,1.8,9.0,85.7,,,,,,,,,,,,,
240,240,282.0,0.0,,,,3-methoxybutan-1-ol,#9ACD32,,104.0,157.0,-85.0,0.92,2.28,0.908,1.408,0.002,,,,,,15.3,5.4,13.6,113.2,,,,,,,,,,,,,
241,241,284.0,0.0,,,,Benzyl acetate,#FFD700,,150.0,213.0,-51.3,1.06,2.3,0.18,1.501,2.0,,,,,,18.3,5.7,6.0,143.7,,,,,,,,,,,,,
242,242,286.0,0.0,,,,Butyl formate,#FFD700,,102.0,107.0,-92.0,0.892,30.0,28.9,1.391,1.32,,,,,,15.7,6.5,9.2,115.2,,,,,,,,,,,,,
243,243,289.0,0.0,,,,Dibutyl ether,#FFD700,,130.0,140.0,-95.0,0.77,0.69,6.01,13.992,3.21,,,0.0,0.46,0.27,15.2,3.4,3.2,170.4,,,,,,,,,,,,,
244,244,290.0,0.0,,,,dibutylsuccinate,#FFD700,,230.0,274.5,-29.2,0.98,4.0,0.016,14.273,24.532,,,,,,16.1,7.7,8.8,238.3,,,,,,,,,,,,,
245,245,292.0,0.0,,,,diethyl succinate,#FFD700,,174.0,217.7,-21.0,1.04,1.05,0.044,1.42,1.26,,,,,,16.1,7.7,8.8,169.3,,,,,,,,,,,,,
246,246,295.0,0.0,,,,Ethyl butyrate,#9ACD32,,116.0,121.5,-98.0,0.87,0.63,14.476,1.392,1.7,,,,,,15.5,5.6,5.0,132.9,,,,,,,,,,,,,
247,247,296.0,0.0,,,,Ethyl cyclopentane,#FFD700,,98.0,103.0,-138.0,0.763,0.535,38.0,1.426,3.85,,,,,,16.5,1.2,2.0,125.6,,,,,,,,,,,,,
248,248,297.0,0.0,,,,ethyl isopropyl ketone,#FFD700,,100.0,113.5,-82.16,0.8,0.45,18.076,1.397,1.331,,,,,,16.0,7.6,4.7,124.9,,,,,,,,,,,,,
249,249,299.0,0.0,,,,Ethyl propionate,#FFD700,,102.0,99.1,-73.9,0.89,0.5,35.928,1.381,1.21,,,,,,15.5,6.1,4.9,115.6,,,,,,,,,,,,,
250,250,300.0,0.0,,,,ethylene glycol diacetate,#9ACD32,,146.0,190.0,-41.0,1.13,1.49,0.077,14.159,0.4,,,,,,16.2,4.7,9.8,132.7,,,,,,,,,,,,,
251,251,301.0,0.0,,,,glycerol,#FFD700,,92.0,290.0,18.2,1.26,945.0,0.0,1.473,-1.76,,,,,,17.4,11.3,27.2,73.4,,,,,,,,,,,,,
252,252,302.0,0.0,,,,"Hexyl acetate, n-",#9ACD32,,144.0,171.5,-80.9,0.88,1.05,1.32,1.409,2.87,,,,,,15.8,2.9,5.9,166.1,,,,,,,,,,,,,
253,253,307.0,0.0,,,,Lactic acid,#FFD700,,90.0,216.0,53.0,1.19,36.9,0.029,14.392,0.6,,,,,,17.0,8.3,28.4,73.8,,,,,,,,,,,,,
254,254,308.0,0.0,,,,Methyl amyl acetate,#9ACD32,,144.0,147.5,-64.0,0.86,0.98,28.802,1.409,19.841,,,,,,15.2,3.1,6.8,167.4,,,,,,,,,,,,,
255,255,309.0,0.0,,,,Methyl isopropyl ketone,#9ACD32,,86.0,94.0,-94.4,0.8501,0.454,52.714,1.388,0.84,,,,,,15.8,6.8,5.0,107.8,,,,,,,,,,,,,
256,256,310.0,0.0,,,,Methyl laurate,#FFD700,,214.0,267.0,5.2,0.87,3.0,0.004,1.432,5.41,,,,,,16.1,3.6,4.2,247.2,,,,,,,,,,,,,
257,257,315.0,0.0,,,,n-pentyl propionate,#9ACD32,,144.0,169.0,-75.0,0.873,1.0,3.6,1.41,2.823,,,,,,15.8,5.2,5.7,165.3,,,,,,,,,,,,,
258,258,317.0,0.0,,,,o-xylene,#FFD700,,106.0,144.5,-25.2,0.87,0.76,6.608,1.503,3.12,,,,,,17.8,1.0,3.1,121.1,,,,,,,,,,,,,
259,259,318.0,0.0,,,,p-cymene,#9ACD32,,134.0,177.1,-68.9,0.86,0.76,1.463,1.489,4.1,,,,,,18.0,3.5,2.7,156.3,,,,,,,,,,,,,
260,260,320.0,0.0,,,,R-limonene (+) (D),#FFD700,,136.0,176.0,-75.0,0.84,0.923,1.98,1.47,4.57,,,,,,16.5,0.6,0.0,162.9,,,,,,,,,,,,,
261,261,321.0,0.0,,,,tert-Amyl methyl ether,#9ACD32,,102.0,86.3,-80.0,0.766,0.46,75.2,13.862,1.55,,,,,,15.2,4.5,2.5,136.1,,,,,,,,,,,,,
262,262,323.0,0.0,,,,Triethylamine,#FF6347,,101.0,89.3,-114.7,0.75,20.14,57.155,1.401,1.45,,,0.0,0.71,0.14,15.5,0.4,1.0,139.7,,,,,,,,,,,,,
264,0,,,,,,"1,1,3,3-tetramethylguanidine",,,,,,,,,,,,,0.0,0.86,0.76,,,,,,,,,,,,,,,,,
268,0,,,,,,"1,3-dichlorobenzene",,,,,,,,,,,,,0.0,0.03,0.75,,,,,,,,,,,,,,,,,
269,0,,,,,,"1,3-dimethylbenzene",,,,,,,,,,,,,0.0,0.11,0.47,,,,,,,,,,,,,,,,,
270,0,,,,,,"1,4-difluorobenzene",,,,,,,,,,,,,0.0,0.03,0.58,,,,,,,,,,,,,,,,,
272,0,,,,,,1-bromobutane,,,,,,,,,,,,,0.0,0.13,0.5,,,,,,,,,,,,,,,,,
273,0,,,,,,1-butyl-3-methyl-1H-imidazol-3-ium trifluoromethanesulfonate,,,,,,,,,,,,,0.63,0.46,1.01,,,,,,,,,,,,,,,,,
274,0,,,,,,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,,,,,,,,0.62,0.24,0.98,,,,,,,,,,,,,,,,,
275,0,,,,,,1-ethyl-3-methyl-1H-imidazol-3-ium dicyanoazanide,,,,,,,,,,,,,0.53,0.35,1.08,,,,,,,,,,,,,,,,,
276,0,,,,,,1-ethyl-3-methyl-1H-imidazol-3-ium hexafluorophosphate,,,,,,,,,,,,,0.76,0.2,0.99,,,,,,,,,,,,,,,,,
277,0,,,,,,1-ethyl-3-methyl-1H-imidazol-3-ium hexyl sulfate,,,,,,,,,,,,,0.65,0.71,0.98,,,,,,,,,,,,,,,,,
278,0,,,,,,1-ethyl-3-methyl-1H-imidazol-3-ium octyl sulfate,,,,,,,,,,,,,0.65,0.77,0.93,,,,,,,,,,,,,,,,,
279,0,,,,,,1-ethyl-3-methyl-1H-imidazol-3-ium perchlorate,,,,,,,,,,,,,0.56,0.41,1.11,,,,,,,,,,,,,,,,,
280,0,,,,,,1-ethyl-3-methylimidazolium acetate,,,,,,,,,,,,,0.4,0.95,1.09,,,,,,,,,,,,,,,,,
281,0,,,,,,1-ethyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,,,,,,,,0.76,0.28,0.9,,,,,,,,,,,,,,,,,
282,0,,,,,,1-ethyl-3-methylimidazolium nitrate,,,,,,,,,,,,,0.48,0.66,1.13,,,,,,,,,,,,,,,,,
283,0,,,,,,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,,,,,,,,,,0.7,0.26,1.03,,,,,,,,,,,,,,,,,
284,0,,,,,,1-hexyl-3-methyl-1H-imidazol-3-ium bis[(trifluoromethyl)sulfonyl]azanide,,,,,,,,,,,,,0.65,0.25,0.98,,,,,,,,,,,,,,,,,
285,0,,,,,,1-iodobutane,,,,,,,,,,,,,0.0,0.23,0.47,,,,,,,,,,,,,,,,,
286,0,,,,,,"2,2,2-trifluoroethanol",,,,,,,,,,,,,1.51,0.0,0.73,,,,,,,,,,,,,,,,,
287,0,,,,,,"2,6-dimethylpyridine",,,,,,,,,,,,,0.0,0.76,0.8,,,,,,,,,,,,,,,,,
288,0,,,,,,2-bromopyridine,,,,,,,,,,,,,0.0,0.53,1.0,,,,,,,,,,,,,,,,,
290,0,,,,,,2-chloroaniline,,,,,,,,,,,,,0.25,0.4,0.83,,,,,,,,,,,,,,,,,
291,0,,,,,,2-chloroethanol,,,,,,,,,,,,,1.28,0.53,0.46,,,,,,,,,,,,,,,,,
292,0,,,,,,2-cyanopyridine,,,,,,,,,,,,,0.0,0.29,1.2,,,,,,,,,,,,,,,,,
293,0,,,,,,2-fluoropyridine,,,,,,,,,,,,,0.0,0.51,0.84,,,,,,,,,,,,,,,,,
294,0,,,,,,2-heptanone,,,,,,,,,,,,,0.05,0.48,0.61,,,,,,,,,,,,,,,,,
296,0,,,,,,2-methyl-2-butanol,,,,,,,,,,,,,0.28,0.93,0.4,,,,,,,,,,,,,,,,,
298,0,,,,,,2-methylbutane,,,,,,,,,,,,,0.0,0.01,-0.08,,,,,,,,,,,,,,,,,
299,0,,,,,,2-phenylacetonitrile,,,,,,,,,,,,,0.0,0.41,1.0,,,,,,,,,,,,,,,,,
